13:13:57.391 [ApplicationImpl pooled thread 147] INFO  com.browserstack.utils.Helpers - null
13:13:57.392 [ApplicationImpl pooled thread 147] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:14:41.444 [ApplicationImpl pooled thread 157] INFO  c.b.l.BrowserStackRunExtension - testng
13:14:41.444 [ApplicationImpl pooled thread 157] INFO  com.browserstack.utils.Helpers - null
13:14:41.447 [ApplicationImpl pooled thread 157] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:15:16.592 [ApplicationImpl pooled thread 154] INFO  c.b.l.BrowserStackRunExtension - testng
13:15:16.592 [ApplicationImpl pooled thread 154] INFO  com.browserstack.utils.Helpers - null
13:15:16.594 [ApplicationImpl pooled thread 154] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:37:34.594 [ApplicationImpl pooled thread 170] INFO  c.b.l.BrowserStackRunExtension - testng
13:37:34.594 [ApplicationImpl pooled thread 170] INFO  com.browserstack.utils.Helpers - null
13:37:34.595 [ApplicationImpl pooled thread 170] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:38:22.137 [ApplicationImpl pooled thread 167] INFO  c.b.l.BrowserStackRunExtension - testng
13:38:22.137 [ApplicationImpl pooled thread 167] INFO  com.browserstack.utils.Helpers - null
13:38:22.139 [ApplicationImpl pooled thread 167] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:45:50.116 [ApplicationImpl pooled thread 180] INFO  c.b.l.BrowserStackRunExtension - testng
13:45:50.116 [ApplicationImpl pooled thread 180] INFO  com.browserstack.utils.Helpers - null
13:45:50.118 [ApplicationImpl pooled thread 180] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:51:06.045 [ApplicationImpl pooled thread 177] INFO  c.b.l.BrowserStackRunExtension - testng
13:51:06.045 [ApplicationImpl pooled thread 177] INFO  com.browserstack.utils.Helpers - null
13:51:06.045 [ApplicationImpl pooled thread 177] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:53:28.616 [ApplicationImpl pooled thread 190] INFO  c.b.l.BrowserStackRunExtension - testng
13:53:28.616 [ApplicationImpl pooled thread 190] INFO  com.browserstack.utils.Helpers - null
